iter	MultiClass
0	1.045718595
1	0.9990218051
2	0.9604710439
3	0.9254124324
4	0.8986954369
5	0.8698233168
6	0.8446322558
7	0.8241029706
8	0.8073206946
9	0.7851095727
10	0.7613477576
11	0.7464206321
12	0.7345209996
13	0.7144203567
14	0.6996294441
15	0.6827074374
16	0.6705745729
17	0.6565161022
18	0.6459446381
19	0.6310028746
20	0.6205533293
21	0.6116603125
22	0.6023721715
23	0.5909450613
24	0.5820397974
25	0.5738029637
26	0.5676050202
27	0.5584940698
28	0.5481993331
29	0.5407964381
30	0.5359660674
31	0.5276452803
32	0.5228015032
33	0.5181560407
34	0.5119174227
35	0.5048306956
36	0.4998621241
37	0.4925823138
38	0.4882559478
39	0.4825776877
40	0.4775140062
41	0.4724138033
42	0.4681824943
43	0.4605879694
44	0.4566675356
45	0.4531876725
46	0.4482624415
47	0.4441552705
48	0.4378051617
49	0.4344253208
50	0.4315926499
51	0.4288826664
52	0.4251600111
53	0.4216434417
54	0.4188320764
55	0.4159101053
56	0.4135507204
57	0.4102883408
58	0.4065527256
59	0.4044289431
60	0.4012080216
61	0.3970742153
62	0.3939327043
63	0.3906836959
64	0.3880003112
65	0.3845891135
66	0.3805376449
67	0.3758490881
68	0.3729784027
69	0.3694637565
70	0.3668339474
71	0.3649476217
72	0.3623302505
73	0.3582431322
74	0.3559653557
75	0.3529447727
76	0.3504388162
77	0.3483544932
78	0.3451783453
79	0.3426674115
80	0.3403201672
81	0.3374141425
82	0.334540917
83	0.3331837904
84	0.3307662624
85	0.3277721499
86	0.3265491617
87	0.324382232
88	0.3223195842
89	0.3203916938
90	0.3182365122
91	0.317261581
92	0.3149079701
93	0.3134533492
94	0.3116127364
95	0.3090074821
96	0.3078004304
97	0.3065205622
98	0.3045358751
99	0.3031319895
