iter	Passed	Remaining
0	158	15718
1	164	8061
2	169	5484
3	174	4195
4	187	3564
5	209	3284
6	231	3081
7	259	2979
8	281	2844
9	311	2807
10	341	2764
11	364	2676
12	390	2614
13	412	2533
14	435	2467
15	458	2409
16	481	2351
17	503	2293
18	524	2233
19	546	2184
20	568	2137
21	588	2087
22	608	2035
23	630	1996
24	651	1954
25	673	1916
26	700	1893
27	726	1867
28	747	1830
29	769	1794
30	789	1758
31	815	1733
32	841	1708
33	864	1678
34	888	1650
35	909	1617
36	931	1585
37	953	1555
38	974	1524
39	996	1494
40	1015	1461
41	1035	1430
42	1055	1399
43	1078	1372
44	1098	1342
45	1116	1310
46	1148	1294
47	1171	1269
48	1192	1241
49	1212	1212
50	1231	1183
51	1255	1158
52	1280	1135
53	1299	1106
54	1320	1080
55	1340	1053
56	1360	1026
57	1380	999
58	1401	973
59	1420	946
60	1438	919
61	1460	895
62	1484	871
63	1505	847
64	1525	821
65	1544	795
66	1565	771
67	1585	746
68	1606	721
69	1632	699
70	1656	676
71	1677	652
72	1696	627
73	1724	605
74	1752	584
75	1774	560
76	1798	537
77	1820	513
78	1844	490
79	1871	467
80	1896	444
81	1919	421
82	1939	397
83	1960	373
84	1988	350
85	2014	327
86	2040	304
87	2057	280
88	2065	255
89	2071	230
90	2076	205
91	2081	181
92	2086	157
93	2090	133
94	2094	110
95	2097	87
96	2102	65
97	2105	42
98	2109	21
99	2113	0
