,Reference Number,Easting,Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Sex of Casualty,Age of Casuality,Speed,Type of Vehicle,Casualty Severity
0,110016014.0,443330.0,439205.0,2.0,2011-01-12,7.0,1,3,1,5,0,1,62,60.0,2,2
1,110016024.0,425059.0,433371.0,2.0,2011-01-12,8.0,4,3,4,5,0,0,39,80.0,2,2
2,110016533.0,420683.0,434373.0,1.0,2011-01-12,12.0,0,3,4,1,2,1,66,45.0,2,1
3,110017112.0,431097.0,433000.0,1.0,2011-01-12,17.0,0,1,2,1,2,1,39,45.0,3,1
4,110020375.0,429523.0,433820.0,2.0,2011-01-12,12.0,0,1,4,1,0,1,29,20.0,2,2
5,110017709.0,427893.0,434624.0,2.0,2011-01-13,7.0,4,3,4,1,0,1,26,5.0,12,2
6,110017956.0,421253.0,440320.0,1.0,2011-01-13,8.0,2,3,3,1,2,0,11,70.0,2,1
7,110018244.0,432494.0,433751.0,4.0,2011-01-13,9.0,0,1,4,1,0,1,61,99.0,2,2
8,110018638.0,428108.0,432802.0,2.0,2011-01-13,7.0,2,1,2,1,0,0,30,35.0,2,2
9,110018805.0,420539.0,440258.0,2.0,2011-01-13,16.0,0,1,4,1,0,1,59,15.0,12,2
10,11001889.0,428370.0,431571.0,3.0,2011-01-13,14.0,3,3,4,1,1,1,3,10.0,2,2
11,110018909.0,430472.0,435630.0,2.0,2011-01-13,7.0,0,1,4,1,1,0,23,65.0,1,2
12,110019019.0,428427.0,434017.0,2.0,2011-01-13,19.0,0,3,2,1,0,1,26,5.0,2,1
13,110019019.0,428427.0,434017.0,2.0,2011-01-13,19.0,0,3,2,1,0,1,30,95.0,2,2
14,110023086.0,430711.0,433060.0,2.0,2011-01-13,18.0,0,1,1,1,0,0,22,60.0,2,2
15,110020024.0,433155.0,426320.0,1.0,2011-01-14,9.0,0,1,4,1,2,0,13,35.0,2,1
16,110020351.0,427496.0,431324.0,3.0,2011-01-14,10.0,0,3,4,1,0,1,66,45.0,2,2
17,110020351.0,427496.0,431324.0,3.0,2011-01-14,10.0,0,3,4,1,0,1,33,45.0,2,2
18,110020351.0,427496.0,431324.0,3.0,2011-01-14,10.0,0,3,4,1,0,1,46,70.0,2,2
19,110020351.0,427496.0,431324.0,3.0,2011-01-14,10.0,0,3,4,1,1,0,30,85.0,2,2
